id,x_survey,y_survey,E,N,lon,lat
R_0_0,0,0,824154.081999705,475907.882656612,-72.08,4.3
R_0_1,0,49.0561930045569,824154.081999705,475956.938849617,-72.0799983113133,4.30044322165088
R_0_2,0,98.1123860091138,824154.081999705,476005.995042621,-72.079996622451,4.30088644329594
R_0_3,0,147.168579013671,824154.081999705,476055.051235626,-72.079994933413,4.3013296649352
R_0_4,0,196.224772018228,824154.081999705,476104.10742863,-72.0799932441993,4.30177288656864
R_0_5,0,245.280965022784,824154.081999705,476153.163621635,-72.07999155481,4.30221610819627
R_0_6,0,294.337158027341,824154.081999705,476202.219814639,-72.0799898652449,4.30265932981809
R_0_7,0,343.393351031898,824154.081999705,476251.276007644,-72.0799881755042,4.3031025514341
R_0_8,0,392.449544036455,824154.081999705,476300.332200649,-72.0799864855878,4.30354577304429
R_0_9,0,441.505737041012,824154.081999705,476349.388393653,-72.0799847954957,4.30398899464866
R_0_10,0,490.561930045569,824154.081999705,476398.444586658,-72.0799831052279,4.30443221624722
R_0_11,0,539.618123050126,824154.081999705,476447.500779662,-72.0799814147845,4.30487543783996
R_0_12,0,588.674316054683,824154.081999705,476496.556972667,-72.0799797241654,4.30531865942689
R_0_13,0,637.73050905924,824154.081999705,476545.613165671,-72.0799780333705,4.30576188100799
R_0_14,0,686.786702063796,824154.081999705,476594.669358676,-72.0799763424,4.30620510258328
R_0_15,0,735.842895068353,824154.081999705,476643.725551681,-72.0799746512539,4.30664832415275
R_0_16,0,784.89908807291,824154.081999705,476692.781744685,-72.079972959932,4.30709154571641
R_0_17,0,833.955281077467,824154.081999705,476741.83793769,-72.0799712684345,4.30753476727424
R_0_18,0,883.011474082024,824154.081999705,476790.894130694,-72.0799695767613,4.30797798882625
R_0_19,0,932.067667086581,824154.081999705,476839.950323699,-72.0799678849123,4.30842121037244
R_0_20,0,981.123860091138,824154.081999705,476889.006516703,-72.0799661928877,4.30886443191281
R_0_21,0,1030.18005309569,824154.081999705,476938.062709708,-72.0799645006874,4.30930765344736
R_0_22,0,1079.23624610025,824154.081999705,476987.118902712,-72.0799628083114,4.30975087497608
R_0_23,0,1128.29243910481,824154.081999705,477036.175095717,-72.0799611157598,4.31019409649898
R_0_24,0,1177.34863210937,824154.081999705,477085.231288722,-72.0799594230325,4.31063731801606
R_0_25,0,1226.40482511392,824154.081999705,477134.287481726,-72.0799577301294,4.31108053952731
R_0_26,0,1275.46101811848,824154.081999705,477183.343674731,-72.0799560370507,4.31152376103274
R_0_27,0,1324.51721112304,824154.081999705,477232.399867735,-72.0799543437963,4.31196698253234
R_0_28,0,1373.57340412759,824154.081999705,477281.45606074,-72.0799526503662,4.31241020402612
R_0_29,0,1422.62959713215,824154.081999705,477330.512253744,-72.0799509567604,4.31285342551406
R_0_30,0,1471.68579013671,824154.081999705,477379.568446749,-72.0799492629789,4.31329664699619
R_0_31,0,1520.74198314126,824154.081999705,477428.624639753,-72.0799475690217,4.31373986847248
R_0_32,0,1569.79817614582,824154.081999705,477477.680832758,-72.0799458748888,4.31418308994294
R_0_33,0,1618.85436915038,824154.081999705,477526.737025763,-72.0799441805803,4.31462631140757
R_0_34,0,1667.91056215493,824154.081999705,477575.793218767,-72.079942486096,4.31506953286638
R_0_35,0,1716.96675515949,824154.081999705,477624.849411772,-72.0799407914361,4.31551275431935
R_0_36,0,1766.02294816405,824154.081999705,477673.905604776,-72.0799390966004,4.3159559757665
R_0_37,0,1815.0791411686,824154.081999705,477722.961797781,-72.0799374015891,4.31639919720781
R_0_38,0,1864.13533417316,824154.081999705,477772.017990785,-72.079935706402,4.31684241864329
R_0_39,0,1913.19152717772,824154.081999705,477821.07418379,-72.0799340110393,4.31728564007293
R_0_40,0,1962.24772018228,824154.081999705,477870.130376794,-72.0799323155009,4.31772886149674
R_0_41,0,2011.30391318683,824154.081999705,477919.186569799,-72.0799306197868,4.31817208291472
R_0_42,0,2060.36010619139,824154.081999705,477968.242762804,-72.0799289238969,4.31861530432686
R_0_43,0,2109.41629919595,824154.081999705,478017.298955808,-72.0799272278314,4.31905852573317
R_0_44,0,2158.4724922005,824154.081999705,478066.355148813,-72.0799255315902,4.31950174713364
R_0_45,0,2207.52868520506,824154.081999705,478115.411341817,-72.0799238351733,4.31994496852828
R_0_46,0,2256.58487820962,824154.081999705,478164.467534822,-72.0799221385807,4.32038818991708
R_0_47,0,2305.64107121417,824154.081999705,478213.523727826,-72.0799204418124,4.32083141130004
R_0_48,0,2354.69726421873,824154.081999705,478262.579920831,-72.0799187448684,4.32127463267716
R_0_49,0,2403.75345722329,824154.081999705,478311.636113835,-72.0799170477487,4.32171785404844
R_0_50,0,2452.80965022784,824154.081999705,478360.69230684,-72.0799153504532,4.32216107541389
R_0_51,0,2501.8658432324,824154.081999705,478409.748499845,-72.0799136529821,4.32260429677349
R_0_52,0,2550.92203623696,824154.081999705,478458.804692849,-72.0799119553353,4.32304751812725
R_0_53,0,2599.97822924152,824154.081999705,478507.860885854,-72.0799102575128,4.32349073947518
