id,E,N,lon,lat
R_0_0,824154.0819997053,475907.88265661214,-72.08,4.299999999999999
R_0_1,824154.0819997094,475956.93884961726,-72.0799983113133,4.300443221650881
R_0_2,824154.0819997055,476005.9950426208,-72.079996622451,4.30088644329594
R_0_3,824154.081999705,476055.05123562587,-72.079994933413,4.301329664935199
R_0_4,824154.0819997061,476104.1074286301,-72.0799932441993,4.30177288656864
R_0_5,824154.0819997005,476153.1636216346,-72.07999155481,4.30221610819627
R_0_6,824154.081999705,476202.2198146392,-72.0799898652449,4.3026593298180895
R_0_7,824154.0819997027,476251.2760076444,-72.0799881755042,4.303102551434099
R_0_8,824154.0819997033,476300.3322006491,-72.0799864855878,4.30354577304429
R_0_9,824154.0819997041,476349.38839365327,-72.0799847954957,4.303988994648659
R_0_10,824154.0819997091,476398.44458665804,-72.0799831052279,4.304432216247219
R_0_11,824154.0819997027,476447.5007796623,-72.0799814147845,4.304875437839961
R_0_12,824154.0819997005,476496.5569726674,-72.0799797241654,4.305318659426891
R_0_13,824154.081999711,476545.613165671,-72.0799780333705,4.30576188100799
R_0_14,824154.0819997098,476594.6693586755,-72.0799763424,4.30620510258328
R_0_15,824154.0819997013,476643.7255516799,-72.0799746512539,4.30664832415275
R_0_16,824154.0819997068,476692.7817446852,-72.079972959932,4.30709154571641
R_0_17,824154.0819997005,476741.8379376898,-72.0799712684345,4.307534767274241
R_0_18,824154.081999698,476790.894130694,-72.0799695767613,4.3079779888262495
R_0_19,824154.0819997063,476839.95032369846,-72.0799678849123,4.308421210372439
R_0_20,824154.0819997072,476889.00651670306,-72.07996619288771,4.308864431912808
R_0_21,824154.0819997087,476938.06270970794,-72.0799645006874,4.30930765344736
R_0_22,824154.0819997125,476987.11890271207,-72.0799628083114,4.309750874976081
R_0_23,824154.0819997042,477036.1750957166,-72.0799611157598,4.31019409649898
R_0_24,824154.0819996982,477085.2312887215,-72.0799594230325,4.3106373180160595
R_0_25,824154.0819997067,477134.2874817258,-72.0799577301294,4.311080539527311
R_0_26,824154.0819997017,477183.3436747306,-72.0799560370507,4.311523761032739
R_0_27,824154.0819997014,477232.39986773505,-72.0799543437963,4.311966982532341
R_0_28,824154.0819997014,477281.45606074005,-72.0799526503662,4.312410204026119
R_0_29,824154.0819997006,477330.5122537436,-72.0799509567604,4.312853425514059
R_0_30,824154.0819997014,477379.5684467494,-72.0799492629789,4.31329664699619
R_0_31,824154.081999704,477428.62463975366,-72.0799475690217,4.313739868472479
R_0_32,824154.0819997082,477477.68083275785,-72.0799458748888,4.314183089942939
R_0_33,824154.0819997012,477526.73702576204,-72.0799441805803,4.3146263114075705
R_0_34,824154.0819997056,477575.7932187669,-72.079942486096,4.315069532866378
R_0_35,824154.0819997,477624.8494117713,-72.0799407914361,4.315512754319349
R_0_36,824154.0819997061,477673.90560477675,-72.0799390966004,4.3159559757665
R_0_37,824154.0819997003,477722.96179778123,-72.0799374015891,4.31639919720781
R_0_38,824154.0819997089,477772.0179907858,-72.079935706402,4.316842418643289
R_0_39,824154.0819997059,477821.07418378984,-72.0799340110393,4.317285640072929
R_0_40,824154.0819997026,477870.13037679443,-72.0799323155009,4.317728861496741
R_0_41,824154.0819997005,477919.1865697989,-72.07993061978681,4.318172082914719
R_0_42,824154.0819997092,477968.2427628032,-72.0799289238969,4.318615304326858
R_0_43,824154.0819997077,478017.298955808,-72.0799272278314,4.319058525733169
R_0_44,824154.0819997059,478066.3551488123,-72.0799255315902,4.319501747133639
R_0_45,824154.0819997047,478115.4113418174,-72.0799238351733,4.31994496852828
R_0_46,824154.0819997033,478164.4675348221,-72.0799221385807,4.32038818991708
R_0_47,824154.0819997009,478213.52372782666,-72.07992044181242,4.320831411300039
R_0_48,824154.0819997021,478262.5799208311,-72.0799187448684,4.321274632677161
R_0_49,824154.0819996998,478311.6361138352,-72.0799170477487,4.3217178540484396
R_0_50,824154.0819997082,478360.6923068403,-72.0799153504532,4.32216107541389
R_0_51,824154.081999707,478409.7484998446,-72.0799136529821,4.3226042967734895
R_0_52,824154.0819997052,478458.8046928488,-72.0799119553353,4.323047518127251
R_0_53,824154.0819997048,478507.86088585417,-72.0799102575128,4.32349073947518
R_0_54,824154.0819997009,478556.91707885877,-72.0799085595146,4.32393396081726
R_0_55,824154.0819997085,478605.9732718624,-72.0799068613406,4.324377182153489
R_0_56,824154.0819997066,478655.02946486766,-72.079905162991,4.32482040348389
R_0_57,824154.0819997019,478704.08565787214,-72.0799034644657,4.325263624808439
R_0_58,824154.0819997089,478753.14185087604,-72.0799017657646,4.32570684612714
R_0_59,824154.0819997045,478802.19804388145,-72.0799000668879,4.326150067440009
R_0_60,824154.0819996989,478851.25423688535,-72.0798983678355,4.326593288747021
R_0_61,824154.0819997031,478900.31042988994,-72.0798966686073,4.32703651004819
R_0_62,824154.0819997073,478949.3666228953,-72.0798949692034,4.32747973134352
R_0_63,824154.0819997113,478998.4228158991,-72.0798932696238,4.327922952632989
R_0_64,824154.0819997026,479047.4790089038,-72.0798915698686,4.328366173916621
R_0_65,824154.0819997019,479096.53520190815,-72.0798898699376,4.328809395194399
R_0_66,824154.0819997038,479145.59139491257,-72.0798881698309,4.329252616466329
R_0_67,824154.0819997026,479194.64758791705,-72.0798864695485,4.329695837732409
R_0_68,824154.0819996996,479243.70378092147,-72.0798847690904,4.33013905899264
R_0_69,824154.0819997089,479292.7599739272,-72.0798830684565,4.330582280247031
R_0_70,824154.0819997035,479341.81616693083,-72.079881367647,4.331025501495551
R_0_71,824154.0819997088,479390.8723599355,-72.0798796666617,4.331468722738229
R_0_72,824154.0819997021,479439.92855293973,-72.0798779655008,4.331911943975049
R_0_73,824154.0819997049,479488.9847459452,-72.0798762641641,4.332355165206031
R_0_74,824154.0819997067,479538.04093894886,-72.0798745626517,4.33279838643114
